Scope,Language,CommunityID
Global,en,0
Global,de,0
Global,nl,0
Global,cs,0
Global,da,0
Global,pl,0
Global,hu,0
Global,el,0
Global,NB,0
Global,it,1
Global,es,1
Global,PT-PT,1
Global,ro,1
Global,fr,1
animals,en,0
animals,de,0
animals,nl,0
animals,cs,0
animals,da,0
animals,pl,0
animals,hu,0
animals,el,0
animals,NB,0
animals,it,1
animals,es,1
animals,PT-PT,1
animals,ro,1
animals,fr,1
body,it,0
body,es,0
body,PT-PT,0
body,ro,0
body,fr,0
body,el,0
body,en,1
body,de,1
body,nl,1
body,da,1
body,NB,1
body,cs,2
body,pl,2
body,hu,2
business,en,0
business,de,0
business,nl,0
business,cs,0
business,da,0
business,pl,0
business,hu,0
business,el,0
business,NB,0
business,it,1
business,es,1
business,PT-PT,1
business,ro,1
business,fr,1
clothes,cs,0
clothes,it,0
clothes,es,0
clothes,PT-PT,0
clothes,ro,0
clothes,fr,0
clothes,pl,0
clothes,el,0
clothes,en,1
clothes,de,1
clothes,nl,1
clothes,da,1
clothes,hu,1
clothes,NB,1
colors,en,0
colors,de,0
colors,nl,0
colors,cs,0
colors,it,0
colors,es,0
colors,PT-PT,0
colors,ro,0
colors,da,0
colors,fr,0
colors,pl,0
colors,hu,0
colors,el,0
colors,NB,0
computer,en,0
computer,de,0
computer,nl,0
computer,cs,0
computer,da,0
computer,pl,0
computer,hu,0
computer,el,0
computer,NB,0
computer,it,1
computer,es,1
computer,PT-PT,1
computer,ro,1
computer,fr,1
cooking,en,0
cooking,de,0
cooking,nl,0
cooking,cs,0
cooking,da,0
cooking,pl,0
cooking,hu,0
cooking,el,0
cooking,NB,0
cooking,it,1
cooking,es,1
cooking,PT-PT,1
cooking,ro,1
cooking,fr,1
desserts,en,0
desserts,de,0
desserts,nl,0
desserts,cs,0
desserts,da,0
desserts,hu,0
desserts,NB,0
desserts,it,1
desserts,es,1
desserts,PT-PT,1
desserts,ro,1
desserts,fr,1
desserts,pl,1
desserts,el,1
driving,en,0
driving,de,0
driving,nl,0
driving,cs,0
driving,da,0
driving,pl,0
driving,hu,0
driving,el,0
driving,NB,0
driving,it,1
driving,es,1
driving,PT-PT,1
driving,ro,1
driving,fr,1
emotions,de,0
emotions,nl,0
emotions,cs,0
emotions,da,0
emotions,pl,0
emotions,hu,0
emotions,el,0
emotions,NB,0
emotions,en,1
emotions,it,1
emotions,es,1
emotions,PT-PT,1
emotions,ro,1
emotions,fr,1
family,en,0
family,de,0
family,nl,0
family,da,0
family,NB,0
family,it,1
family,es,1
family,PT-PT,1
family,ro,1
